name,description,quadrant,ring,isNew,url
"DevSecOps, leveraging DoD Reference Architectures",,Techniques,0 Adopt,,
Terraform,,Tools,0 Adopt,,
MLZ,,Tools,0 Adopt,,
Infrastructure as Code (IaC),,Techniques,0 Adopt,,
Zero Trust (ZT) Architectures,,Techniques,0 Adopt,,
Linux,,Platforms,0 Adopt,,
Java,,Languages & Frameworks,0 Adopt,,
.NET 5,,Languages & Frameworks,0 Adopt,,
x,,Tools,1 Learn,,
Bicep,,Tools,1 Learn,,
NoOps,,Tools,1 Learn,,
Containerizing Workloads,,Techniques,1 Learn,,
Multi-Cloud Solutions,"<p><strong>Multi-Cloud</strong> is a key technical enabler supporting Goal 1 of the <em><a href=""https://dodcio.defense.gov/Portals/0/Documents/Library/SoftwareModStrat.pdf"">DoD's Software Modernization Strategy</a></em>.</p> <p>This technique is inclusive of <strong>providing solutions that span cloud providers</strong>, leveraging best of breed capabilities in support of the DoD mission, and from <strong>hyperscale to the tactical edge</strong>.</p>",Techniques,1 Learn,TRUE,https://dodcio.defense.gov/Portals/0/Documents/Library/SoftwareModStrat.pdf
Continuous ATO,,Techniques,1 Learn,,
Kubernetes (k8s),Inclusive of CNCF Kubernetes & Rancher RKE2 in addition to managed offerings like AKS and ARO.,Platforms,1 Learn,,
Python,,Languages & Frameworks,1 Learn,,
Go,,Languages & Frameworks,1 Learn,,
x,,Platforms,2 Assess,,
Legacy Windows Auth Apps in Windows Containers,,Techniques,2 Assess,,
.NET 6,,Languages & Frameworks,2 Assess,,
Rust,,Languages & Frameworks,2 Assess,,
Blazor,,Languages & Frameworks,2 Assess,,
x,,Languages & Frameworks,3 By Exception,,
ARM,,Tools,3 By Exception,,
Lift-and-shift migrations,,Techniques,3 By Exception,,
Windows Server 2019,,Platforms,3 By Exception,,
